,County FIPS,Block group id,Green space per capita (m2/person),Percent green space,Percent of residential population with minimal views of trees,Percent of residential population not within 500m of a park entrance,Percent tree cover
0,5,360050001000,-99999.0,37.369998931884766,-99999.0,-99999.0,3.2799999713897705
1,5,360050001001,46.84,33.40999984741211,37.400001525878906,100.0,2.2699999809265137
2,5,360050002000,-99999.0,42.310001373291016,-99999.0,-99999.0,17.950000762939453
3,5,360050002001,18.46,23.239999771118164,0.0,0.0,14.420000076293944
4,5,360050002002,37.58,40.709999084472656,0.0,0.5600000023841858,23.790000915527344
5,5,360050002003,39.54,30.40999984741211,0.0,0.0,16.5
6,5,360050004000,-99999.0,94.51000213623048,-99999.0,-99999.0,25.57999992370605
7,5,360050004001,11.51,17.700000762939453,0.0,0.0,10.170000076293944
8,5,360050004002,143.8,63.41999816894531,0.0,3.700000047683716,30.11000061035156
9,5,360050004003,25.48,22.920000076293945,11.949999809265137,45.900001525878906,11.329999923706056
10,5,360050004004,46.6,37.970001220703125,0.0,0.0,10.630000114440918
11,5,360050016001,12.41,41.959999084472656,0.0,23.63999938964844,21.82999992370605
12,5,360050016002,21.63,23.459999084472656,0.0,0.0,15.630000114440918
13,5,360050016003,10.85,36.02000045776367,0.0,0.0,30.0
14,5,360050016004,80.39,37.38999938964844,0.0,0.209999993443489,17.579999923706055
15,5,360050019000,-99999.0,94.81999969482422,-99999.0,-99999.0,63.5099983215332
16,5,360050019001,46.26,15.56999969482422,0.0,0.0,7.559999942779541
17,5,360050019002,220.2,19.850000381469727,0.0,0.0,8.380000114440918
18,5,360050019003,21.61,5.159999847412109,3.839999914169312,3.740000009536743,3.1700000762939453
19,5,360050019004,-99999.0,12.84000015258789,-99999.0,-99999.0,2.2799999713897705
20,5,360050019005,-99999.0,92.04000091552734,-99999.0,-99999.0,66.12000274658203
21,5,360050019005,-99999.0,92.04000091552734,-99999.0,-99999.0,66.12000274658203
22,5,360050020001,14.26,21.51000022888184,0.0,0.0,16.31999969482422
23,5,360050020002,10.73,28.709999084472656,0.0,0.0,22.229999542236328
24,5,360050020003,28.89,61.13999938964844,0.0,15.399999618530272,39.130001068115234
25,5,360050020004,27.0,68.43000030517578,0.0,32.70000076293945,41.29999923706055
26,5,360050020005,4.89,18.280000686645508,0.0,0.0,15.119999885559082
27,5,360050020006,9.87,18.3799991607666,0.0,0.0,12.899999618530272
28,5,360050023001,8.95,47.08000183105469,0.0,11.68000030517578,38.150001525878906
29,5,360050023002,11.49,28.420000076293945,0.0,0.0,23.399999618530277
30,5,360050023003,6.51,33.86000061035156,0.0,5.579999923706055,26.030000686645508
31,5,360050024000,-99999.0,79.30000305175781,-99999.0,-99999.0,19.920000076293945
32,5,360050024001,136789.75,81.62999725341797,0.0,50.0,28.280000686645508
33,5,360050025001,0.52,2.400000095367432,0.0,0.0,2.289999961853028
34,5,360050025002,9.03,55.130001068115234,0.0,3.9700000286102295,44.56999969482422
35,5,360050025003,4.73,22.399999618530277,0.0,0.0,12.90999984741211
36,5,360050025004,3.34,14.1899995803833,0.0,0.0,3.75
37,5,360050025005,7.4,18.26000022888184,0.0,0.0,5.059999942779541
38,5,360050027011,8.35,35.9900016784668,0.0,8.970000267028809,23.850000381469727
39,5,360050027012,10.87,35.060001373291016,0.0,5.800000190734863,25.649999618530277
40,5,360050027021,1.32,2.869999885559082,0.0,0.0,1.690000057220459
41,5,360050027022,3.87,10.010000228881836,0.0,0.0,6.480000019073486
42,5,360050027023,5.26,16.579999923706055,0.0,0.0,4.960000038146973
43,5,360050027024,5.79,25.030000686645508,0.0,0.0,9.010000228881836
44,5,360050028000,-99999.0,25.299999237060547,-99999.0,-99999.0,12.050000190734863
45,5,360050028001,20.93,11.300000190734863,1.409999966621399,3.670000076293945,8.399999618530273
46,5,360050028002,17.92,47.25,0.0,1.7899999618530271,26.799999237060547
47,5,360050028003,19.23,54.79999923706055,0.0,26.229999542236328,24.739999771118164
48,5,360050028004,16.35,45.84999847412109,0.0,22.049999237060547,29.40999984741211
49,5,360050031001,6.86,7.010000228881836,0.3100000023841858,0.0,2.509999990463257
50,5,360050033001,28.56,18.71999931335449,0.0,0.0,14.520000457763672
51,5,360050033002,3.2,11.880000114440918,0.0,0.0,3.5899999141693115
52,5,360050033003,3.92,16.809999465942383,0.0,0.0,8.829999923706055
53,5,360050035001,9.97,9.989999771118164,0.0,0.0,7.480000019073486
54,5,360050035002,4.34,37.88999938964844,0.0,1.8200000524520876,35.0099983215332
55,5,360050035003,2.19,7.510000228881836,0.0,0.0,4.510000228881836
56,5,360050037001,490.04,71.66000366210938,0.0,26.530000686645508,42.22999954223633
57,5,360050038001,15.97,31.86000061035156,0.0,0.0,20.63999938964844
58,5,360050039001,8.76,29.059999465942383,0.0,1.409999966621399,14.68000030517578
59,5,360050039002,6.72,21.790000915527344,0.0,0.0,19.030000686645508
60,5,360050039003,9.72,20.57999992370605,0.0,0.0,15.420000076293944
61,5,360050039004,6.14,25.1299991607666,0.0,0.0,13.640000343322754
62,5,360050039005,9.01,23.239999771118164,0.0,0.0,19.809999465942383
63,5,360050040011,22.64,26.1200008392334,0.0,0.6299999952316284,17.520000457763672
64,5,360050041001,8.33,31.479999542236328,0.0,0.0,26.709999084472656
65,5,360050041002,8.3,17.260000228881836,0.0,0.0,11.520000457763672
66,5,360050041003,4.75,3.950000047683716,0.0,0.0,3.950000047683716
67,5,360050041004,9.53,49.68000030517578,0.0,2.430000066757202,45.619998931884766
68,5,360050042001,20.01,32.189998626708984,0.0,18.56999969482422,24.1200008392334
69,5,360050042002,17.74,57.68999862670898,0.0,20.90999984741211,42.7599983215332
70,5,360050042003,15.2,21.700000762939453,0.0,5.150000095367432,7.849999904632568
71,5,360050042004,19.88,38.34999847412109,0.0,0.0,31.920000076293945
72,5,360050042005,12.73,13.420000076293944,0.0,0.0,10.670000076293944
73,5,360050042006,-99999.0,9.960000038146973,-99999.0,-99999.0,3.740000009536743
74,5,360050042007,20.14,60.27000045776367,0.0,24.5,42.45000076293945
75,5,360050043001,3.63,8.270000457763672,0.0,0.0,5.650000095367432
76,5,360050043002,6.17,11.289999961853027,0.0,0.0,7.570000171661377
77,5,360050043003,7.7,22.8700008392334,0.0,0.0,19.56999969482422
78,5,360050043004,6.47,16.670000076293945,0.0,0.0,11.789999961853027
79,5,360050044001,21.86,51.56999969482422,0.0,25.670000076293945,26.209999084472656
80,5,360050044002,30.16,58.56999969482422,0.0,11.729999542236328,30.489999771118164
81,5,360050044003,22.02,34.209999084472656,2.069999933242798,32.13999938964844,19.190000534057617
82,5,360050044004,28.31,49.02000045776367,0.0,8.270000457763672,20.399999618530277
83,5,360050046001,27.74,31.920000076293945,0.0,0.7699999809265137,23.600000381469727
84,5,360050048001,12.84,36.33000183105469,0.0,0.0,13.449999809265137
85,5,360050048002,10.32,25.399999618530277,0.0,0.0,10.8100004196167
86,5,360050050011,5.33,19.84000015258789,0.0,0.0,12.119999885559082
87,5,360050050012,1.53,10.93000030517578,0.0,0.0,7.659999847412109
88,5,360050050013,1.72,8.449999809265137,0.0,0.0,8.050000190734863
89,5,360050050014,2.82,13.800000190734863,0.0,0.0,10.640000343322754
90,5,360050050021,1.44,7.429999828338623,0.0,0.0,5.059999942779541
91,5,360050050022,2.33,10.59000015258789,4.210000038146973,0.0,9.039999961853027
92,5,360050050023,0.96,5.130000114440918,0.0,0.0,5.130000114440918
93,5,360050050024,0.59,3.190000057220459,0.0,0.0,2.9800000190734863
94,5,360050051001,108.88,12.609999656677246,7.769999980926514,0.0,6.630000114440918
95,5,360050051002,10.49,17.639999389648438,0.0,3.7200000286102295,14.609999656677246
96,5,360050051003,10.14,41.09000015258789,0.0,10.039999961853027,36.59000015258789
97,5,360050052001,25.67,12.350000381469728,0.0,0.0,8.489999771118164
98,5,360050052002,1.12,6.179999828338623,0.0,0.0,5.070000171661377
99,5,360050053001,3.07,22.32999992370605,0.0,3.319999933242798,12.520000457763672
100,5,360050053002,3.36,19.040000915527344,0.0,0.0,5.679999828338623
101,5,360050054001,3.52,8.710000038146973,0.0,0.0,7.380000114440918
102,5,360050054002,2.47,9.600000381469728,0.0,16.079999923706055,8.09000015258789
103,5,360050054003,4.69,7.5,2.3399999141693115,8.8100004196167,5.480000019073486
104,5,360050054004,1.23,6.03000020980835,0.0,0.0,5.349999904632568
105,5,360050056001,19.85,29.729999542236328,0.0,0.1099999994039535,9.420000076293944
106,5,360050056002,2.93,11.279999732971191,0.0,0.0,9.960000038146973
107,5,360050056003,7.85,14.43000030517578,0.0,0.0,13.199999809265137
108,5,360050059021,3.79,15.229999542236328,0.0,0.0,12.260000228881836
109,5,360050059022,2.78,9.789999961853027,1.950000047683716,0.0,8.710000038146973
110,5,360050060001,88.34,31.040000915527344,0.0,0.0900000035762786,12.3100004196167
111,5,360050061001,1.43,1.5299999713897705,38.810001373291016,38.810001373291016,1.0800000429153442
112,5,360050061002,0.44,3.220000028610229,4.75,35.84000015258789,2.950000047683716
113,5,360050061003,1704.44,10.25,0.0,0.0,6.159999847412109
114,5,360050062001,18.19,31.040000915527344,0.0,1.6399999856948853,21.479999542236328
115,5,360050062002,10.97,60.959999084472656,0.0,20.96999931335449,48.09999847412109
116,5,360050062003,11.05,56.02000045776367,0.0,20.26000022888184,39.41999816894531
117,5,360050062004,0.97,5.079999923706055,21.8700008392334,0.0,2.4600000381469727
118,5,360050062005,11.58,24.170000076293945,0.0,0.0,17.149999618530273
119,5,360050063001,-99999.0,30.71999931335449,-99999.0,-99999.0,15.06999969482422
120,5,360050063002,103.48,8.199999809265137,0.0,0.0,5.179999828338623
121,5,360050063003,3.09,5.659999847412109,0.0,0.0,4.190000057220459
122,5,360050063004,1.08,5.869999885559082,0.0,0.0,3.470000028610229
123,5,360050063005,4.65,14.15999984741211,0.0,0.0,13.729999542236328
124,5,360050063006,35.13,59.18000030517578,0.0,0.0,41.75
125,5,360050064001,9.13,20.8700008392334,0.0,0.0,14.300000190734863
126,5,360050064002,5.48,17.899999618530273,0.0,0.0,15.199999809265137
127,5,360050064003,15.73,33.52000045776367,0.0,0.0,28.040000915527344
128,5,360050064004,13.93,34.2400016784668,0.0,1.8899999856948853,25.59000015258789
129,5,360050065001,9.63,8.600000381469727,0.0,0.0,6.940000057220459
130,5,360050065002,7.15,31.290000915527344,0.0,0.0,16.31999969482422
131,5,360050065003,4.03,14.100000381469728,0.0,0.0,7.480000019073486
132,5,360050065004,4.57,4.659999847412109,0.0,0.0,3.0299999713897705
133,5,360050067001,3.3,7.110000133514404,0.0,0.0,4.070000171661377
134,5,360050067002,4.12,8.039999961853027,0.0,0.1700000017881393,6.059999942779541
135,5,360050067003,7.65,45.2599983215332,0.0,1.159999966621399,27.88999938964844
136,5,360050067004,13.71,53.709999084472656,0.0,6.320000171661377,40.16999816894531
137,5,360050067005,2.49,14.829999923706056,0.0,0.0,9.25
138,5,360050067006,3.78,14.390000343322754,0.0,0.0,7.909999847412109
139,5,360050068001,8.95,22.280000686645508,0.0,0.0,14.829999923706056
140,5,360050068002,16.85,19.950000762939453,0.0,0.0,13.279999732971191
141,5,360050068003,14.75,30.75,0.0,0.0,27.530000686645508
142,5,360050069001,3.37,12.65999984741211,0.0,0.0,7.539999961853027
143,5,360050069002,7.07,16.219999313354492,0.0,0.0,10.359999656677246
144,5,360050069003,5.97,54.52999877929688,0.0,0.0,40.540000915527344
145,5,360050069004,8.12,52.79999923706055,0.0,14.43000030517578,39.77999877929688
146,5,360050070001,11.36,25.489999771118164,0.0,0.0,16.75
147,5,360050070002,5.89,14.380000114440918,0.0,0.0,11.449999809265137
148,5,360050070003,9.58,20.270000457763672,0.0,0.0,14.390000343322754
149,5,360050071001,9.01,14.81999969482422,0.0,0.0,10.470000267028809
150,5,360050071002,44.39,21.68000030517578,0.0,0.0,8.130000114440918
151,5,360050072001,6.65,14.300000190734863,0.0,0.0,9.369999885559082
152,5,360050072002,5.03,15.779999732971191,0.0,0.0,12.850000381469728
153,5,360050072003,9.82,18.549999237060547,0.0,0.0,13.359999656677246
154,5,360050072004,3.66,13.06999969482422,0.0,0.0,10.25
155,5,360050073001,5.81,12.470000267028809,0.0,0.0,8.979999542236328
156,5,360050073002,0.8,3.4800000190734863,0.0,0.0,2.630000114440918
157,5,360050073003,12.94,34.290000915527344,0.0,0.0,23.01000022888184
158,5,360050074001,10.51,20.88999938964844,0.0,0.0,10.6899995803833
159,5,360050074002,9.97,20.56999969482422,0.0,0.0,10.800000190734863
160,5,360050074003,21.96,41.65999984741211,0.0,19.15999984741211,21.239999771118164
161,5,360050075001,7.16,17.549999237060547,0.0,0.0,8.739999771118164
162,5,360050075002,17.89,26.11000061035156,0.0,0.0,15.81999969482422
163,5,360050075003,13.34,52.880001068115234,0.0,11.789999961853027,31.989999771118164
164,5,360050075004,30.25,52.7599983215332,0.0,13.619999885559082,49.459999084472656
165,5,360050076001,2.49,9.149999618530272,0.0,0.0,7.559999942779541
166,5,360050076002,3.39,8.8100004196167,0.0,0.0,5.559999942779541
167,5,360050076003,4.57,15.850000381469728,0.0,0.0,9.800000190734863
168,5,360050076004,5.4,12.3100004196167,0.0,0.0,7.900000095367432
169,5,360050076005,9.63,15.550000190734863,0.0,0.0,10.270000457763672
170,5,360050077001,9.47,16.190000534057617,0.0,0.0,8.210000038146973
171,5,360050078001,13.5,19.8799991607666,0.0,0.0,11.3100004196167
172,5,360050078002,14.38,27.850000381469727,0.0,6.53000020980835,13.619999885559082
173,5,360050078003,2.28,7.090000152587891,0.0,0.0,6.269999980926514
174,5,360050078004,4.27,14.59000015258789,0.0,0.0,10.489999771118164
175,5,360050079001,6.85,21.31999969482422,0.0,0.0,15.720000267028809
176,5,360050079002,3.34,10.539999961853027,0.0,0.0,8.329999923706055
177,5,360050079003,4.76,18.25,0.0,0.0,12.050000190734863
178,5,360050079004,5.34,14.380000114440918,0.0,0.0,6.760000228881836
179,5,360050079005,7.69,53.619998931884766,0.0,0.0,47.52999877929688
180,5,360050079006,14.82,49.84999847412109,0.0,6.53000020980835,42.90999984741211
181,5,360050083001,4.45,12.90999984741211,0.0,0.0,11.18000030517578
182,5,360050083002,12.26,32.189998626708984,0.0,0.0,28.799999237060547
183,5,360050083003,4.49,17.690000534057617,0.0,0.0,10.8100004196167
184,5,360050083004,2.47,8.329999923706055,2.150000095367432,0.0,3.900000095367432
185,5,360050083005,0.03,0.1500000059604644,34.0099983215332,0.0,0.1500000059604644
186,5,360050083006,0.75,1.0700000524520874,14.989999771118164,0.0,0.6899999976158142
187,5,360050084001,13.23,26.540000915527344,0.0,0.0,11.300000190734863
188,5,360050084002,20.43,27.440000534057617,0.0,6.480000019073486,14.90999984741211
189,5,360050085001,3.06,5.690000057220459,0.0,0.0,3.430000066757202
190,5,360050085002,5.01,16.700000762939453,0.0,0.0,14.4399995803833
191,5,360050085003,8.02,11.75,0.0,0.0,9.380000114440918
192,5,360050085004,2.17,11.399999618530272,0.0,0.0,10.920000076293944
193,5,360050085005,1.18,8.649999618530273,0.0,0.0,6.440000057220459
194,5,360050086001,14.64,19.56999969482422,0.0,0.0,10.829999923706056
195,5,360050086002,23.63,63.79999923706055,0.0,15.489999771118164,34.34000015258789
196,5,360050086003,19.19,51.0,0.0,10.869999885559082,26.549999237060547
197,5,360050087001,34.51,29.899999618530277,2.6600000858306885,0.0,11.390000343322754
